name,location,address,category,description,website,contact,hours
Josh Early Candies,"Bethlehem, PA","462 Main St","Specialty Store","Local chocolate and candy shop","https://example.com/josh-early-candies","610-555-0114","Mon–Sat 10am–7pm; Sun 12pm–5pm"
Sherman Street Brewery,"Bethlehem, PA","524 W Broad St","Brewery","Local brewery and taproom with events","https://example.com/sherman-st-brewery","610-555-0115","Wed–Thu 4pm–10pm; Fri–Sat 12pm–11pm; Sun 12pm–8pm"
Switchback Pizza Company,"Allentown, PA","949 Lehigh St","Restaurant","Artisan pizza with a casual vibe","https://example.com/switchback-pizza","610-555-0116","Daily 11am–10pm"
Hamilton Crossings Cinema,"Allentown, PA","4620 Broadway","Entertainment","Modern movie theater complex","https://example.com/hamilton-crossings-cinema","610-555-0117","Daily 12pm–11pm"
Greenhouse Enoteca,"Bethlehem, PA","25 E 3rd St","Restaurant","Farm-to-table Italian dining","https://example.com/greenhouse-enoteca","610-555-0118","Tue–Thu 4pm–10pm; Fri–Sat 4pm–11pm; Sun–Mon Closed"
Starlite Cafe Diner,"Allentown, PA","1801 Hanover Ave","Diner","Classic diner serving breakfast all day","https://example.com/starlite-diner","610-555-0119","Daily 6am–9pm"
Vegan Treats,"Bethlehem, PA","1444 Linden St","Bakery","Vegan bakery with creative desserts","https://example.com/vegan-treats","610-555-0120","Thu–Sat 11am–7pm; Sun 11am–5pm; Mon–Wed Closed"
Deja Brew Coffeehouse,"Bethlehem, PA","101 W Broad St","Cafe","Cozy coffeehouse and live music spot","https://example.com/deja-brew","610-555-0121","Mon–Thu 7am–6pm; Fri–Sat 7am–8pm; Sun 8am–4pm"
Bravo Dance Studio,"Allentown, PA","1845 W Allen St","Dance Studio","Dance classes for all ages","https://example.com/bravo-dance","610-555-0122","Mon–Thu 3pm–9pm; Sat 10am–2pm; Fri–Sun by appt"
The Colony Meadery,"Allentown, PA","905 Harrison St","Brewery","Local mead tasting room","https://example.com/colony-meadery","610-555-0123","Thu 4pm–10pm; Fri 4pm–11pm; Sat 12pm–11pm; Sun 12pm–8pm"
Allentown Farmers Market,"Allentown, PA","1825 Chew St","Market","Indoor market with local vendors","https://example.com/allentown-farmers-market","610-555-0124","Thu–Sat 9am–6pm; Sun–Wed Closed"
District Field,"Allentown, PA","101 S Main St","Restaurant","Modern American restaurant and bar","https://example.com/district-field","610-555-0125","Daily 11am–11pm"
Bethlehem Brew Works,"Bethlehem, PA","569 Main St","Brewery","Brewpub with food and beer","https://example.com/bethlehem-brewworks","610-555-0126","Daily 11am–11pm"
La Vida Cafe,"Bethlehem, PA","35 W Broad St","Cafe","Latin-inspired cafe with breakfast and lunch","https://example.com/la-vida-cafe","610-555-0127","Mon–Sat 8am–3pm; Sun 9am–2pm"
Emmaus Theatre,"Emmaus, PA","19 S 4th St","Entertainment","Historic theater showing films and events","https://example.com/emmaus-theatre","610-555-0128","Showtimes vary"
Franklin Hill Vineyards,"Bangor, PA","609 S Center St","Winery","Vineyard with tastings and events","https://example.com/franklin-hill-vineyards","610-555-0129","Thu–Sun 12pm–6pm"
Studio 515 Salon,"Emmaus, PA","515 Chestnut St","Salon","Hair and beauty services","https://example.com/studio-515-salon","610-555-0130","Tue–Fri 10am–7pm; Sat 9am–4pm; Sun–Mon Closed"
Allentown Art Museum,"Allentown, PA","31 N 5th St","Museum","Art museum with rotating exhibitions","https://example.com/allentown-art-museum","610-555-0131","Tue–Sun 11am–4pm; Mon Closed"
Retro Fitness,"Allentown, PA","1814 W Tilghman St","Gym","Affordable gym with modern equipment","https://example.com/retro-fitness","610-555-0132","Mon–Fri 5am–10pm; Sat–Sun 7am–7pm"
Mitzi's Table,"Allentown, PA","702 N 19th St","Restaurant","Comfort food with vegan-friendly options","https://example.com/mitzis-table","610-555-0133","Tue–Sat 11am–9pm; Sun 11am–6pm; Mon Closed"
Kutztown Folk Festival,"Kutztown, PA","450 Wentz St","Festival","Celebration of Pennsylvania Dutch culture","https://example.com/kutztown-folk-festival","610-555-0134","Event schedule varies"
Clover Hill Vineyards,"Breinigsville, PA","9850 Newtown Rd","Winery","Local winery and vineyard tours","https://example.com/clover-hill-vineyards","610-555-0135","Daily 11am–6pm"
Homebase Skateshop,"Coopersburg, PA","16 N Main St","Retail","Skateboard shop and apparel","https://example.com/homebase-skateshop","610-555-0136","Mon–Sat 11am–7pm; Sun 12pm–5pm"
Johnny's Bagels,"Allentown, PA","1940 W Allen St","Bakery","Fresh bagels and breakfast sandwiches","https://example.com/johnnys-bagels","610-555-0137","Daily 6am–2pm"
Main Street Commons,"Coopersburg, PA","42 S Main St","Shopping Center","Small local shops and restaurants","https://example.com/main-st-commons","610-555-0138","Mon–Sat 10am–8pm; Sun 11am–5pm"
Bolete Restaurant,"Bethlehem, PA","1740 Seidersville Rd","Restaurant","Upscale seasonal dining experience","https://example.com/bolete-restaurant","610-555-0139","Wed–Thu 5pm–9pm; Fri–Sat 5pm–10pm; Sun 5pm–8pm"
Pints and Pies Pub,"Allentown, PA","3145 Tilghman St","Restaurant","Pizza and craft beer pub","https://example.com/pints-and-pies","610-555-0140","Daily 11am–12am"
SteelStacks,"Bethlehem, PA","101 Founders Way","Entertainment","Arts, music, and cultural venue","https://example.com/steelstacks","610-555-0141","Event schedule varies"
LV Escape Room,"Allentown, PA","2354 Grove Rd","Entertainment","Interactive escape room experiences","https://example.com/lv-escape-room","610-555-0142","Daily 2pm–10pm (by booking)"
The Alternative Gallery,"Allentown, PA","707 N 4th St","Art Gallery","Local contemporary art gallery","https://example.com/alternative-gallery","610-555-0143","Thu–Sun 12pm–6pm"
West End Theatre,"Allentown, PA","2917 Linden St","Entertainment","Historic performing arts theater","https://example.com/west-end-theatre","610-555-0144","Showtimes vary"
East Penn Sporting Goods,"Emmaus, PA","3264 Main Rd","Retail","Sporting goods and team equipment","https://example.com/east-penn-sporting","610-555-0145","Mon–Sat 10am–7pm; Sun 11am–5pm"
Cafe the Lodge,"Allentown, PA","400 S Cedar Crest Blvd","Cafe","Community-focused cafe and eatery","https://example.com/cafe-the-lodge","610-555-0146","Mon–Fri 7am–4pm; Sat–Sun 8am–3pm"
Planet Fitness Emmaus,"Emmaus, PA","1099 Chestnut St","Gym","Budget-friendly fitness center","https://example.com/planet-fitness-emmaus","610-555-0147","Mon–Thu 24 hours; Fri 12am–9pm; Sat–Sun 7am–7pm"
South Mall Shops,"Allentown, PA","3300 Lehigh St","Shopping Center","Convenient shopping plaza with services","https://example.com/south-mall-shops","610-555-0148","Mon–Sat 10am–8pm; Sun 11am–6pm"
Center Valley Dental,"Center Valley, PA","2150 Center Valley Pkwy","Health","General dentistry and cleanings","https://example.com/center-valley-dental","610-555-0149","Mon–Thu 8am–5pm; Fri 8am–2pm"
Emmaus Pet Grooming,"Emmaus, PA","72 S 3rd St","Services","Pet grooming and basic care services","https://example.com/emmaus-pet-grooming","610-555-0150","Tue–Sat 9am–5pm; Sun–Mon Closed"
